record_id,underrep_group
449,Rural background
450,First-generation college student
451,None (not underrepresented)
452,None (not underrepresented)
454,None (not underrepresented)
455,Disability
456,None (not underrepresented)
457,None (not underrepresented)
458,LGBTQIA+
458,Rural background
459,None (not underrepresented)
460,First-generation college student
461,None (not underrepresented)
462,None (not underrepresented)
463,None (not underrepresented)
464,None (not underrepresented)
465,Racial/ethnic minority
466,LGBTQIA+
466,Rural background
467,None (not underrepresented)
468,None (not underrepresented)
469,LGBTQIA+
470,None (not underrepresented)
471,None (not underrepresented)
472,Racial/ethnic minority
472,First-generation college student
472,Rural background
473,Racial/ethnic minority
473,Disability
473,LGBTQIA+
474,None (not underrepresented)
475,None (not underrepresented)
476,None (not underrepresented)
477,None (not underrepresented)
478,Rural background
479,None (not underrepresented)
480,None (not underrepresented)
480,LGBTQIA+
481,None (not underrepresented)
482,Other
483,None (not underrepresented)
484,None (not underrepresented)
485,None (not underrepresented)
486,Racial/ethnic minority
486,Disability
486,First-generation college student
487,None (not underrepresented)
488,Disability
489,LGBTQIA+
490,LGBTQIA+
491,None (not underrepresented)
492,None (not underrepresented)
493,None (not underrepresented)
494,None (not underrepresented)
495,None (not underrepresented)
496,Disability
496,LGBTQIA+
497,None (not underrepresented)
497,Rural background
498,None (not underrepresented)
499,None (not underrepresented)
500,None (not underrepresented)
501,Racial/ethnic minority
501,First-generation college student
502,None (not underrepresented)
503,None (not underrepresented)
504,None (not underrepresented)
505,LGBTQIA+
506,None (not underrepresented)
507,Racial/ethnic minority
507,First-generation college student
508,Racial/ethnic minority
509,None (not underrepresented)
510,None (not underrepresented)
511,Rural background
512,None (not underrepresented)
513,Racial/ethnic minority
514,None (not underrepresented)
515,None (not underrepresented)
516,None (not underrepresented)
517,None (not underrepresented)
518,None (not underrepresented)
519,None (not underrepresented)
520,None (not underrepresented)
522,Rural background
522,Other
523,LGBTQIA+
524,Rural background
525,None (not underrepresented)
526,LGBTQIA+
527,None (not underrepresented)
528,LGBTQIA+
529,None (not underrepresented)
530,None (not underrepresented)
531,Disability
531,First-generation college student
531,Rural background
532,None (not underrepresented)
533,None (not underrepresented)
534,None (not underrepresented)
536,None (not underrepresented)
537,None (not underrepresented)
538,None (not underrepresented)
539,None (not underrepresented)
540,None (not underrepresented)
541,None (not underrepresented)
542,None (not underrepresented)
543,None (not underrepresented)
544,None (not underrepresented)
545,None (not underrepresented)
546,Other
547,None (not underrepresented)
547,First-generation college student
548,None (not underrepresented)
549,None (not underrepresented)
550,Racial/ethnic minority
550,Rural background
551,None (not underrepresented)
552,None (not underrepresented)
553,None (not underrepresented)
554,None (not underrepresented)
555,None (not underrepresented)
556,None (not underrepresented)
557,None (not underrepresented)
559,None (not underrepresented)
560,None (not underrepresented)
561,None (not underrepresented)
562,None (not underrepresented)
563,None (not underrepresented)
564,None (not underrepresented)
564,Rural background
566,Racial/ethnic minority
566,Disability
566,Veteran
566,Rural background
567,Racial/ethnic minority
568,LGBTQIA+
568,Rural background
569,None (not underrepresented)
570,None (not underrepresented)
571,None (not underrepresented)
